timestamp,message_type,field,value
1749826239.4427795,ALTITUDE,mavpackettype,ALTITUDE
1749826239.4427795,ALTITUDE,time_usec,812108000
1749826239.4427795,ALTITUDE,altitude_monotonic,49.99248504638672
1749826239.4427795,ALTITUDE,altitude_amsl,50.271305084228516
1749826239.4427795,ALTITUDE,altitude_local,50.034942626953125
1749826239.4427795,ALTITUDE,altitude_relative,50.01599884033203
1749826239.4427795,ALTITUDE,altitude_terrain,nan
1749826239.4427795,ALTITUDE,bottom_clearance,nan
1749826239.443094,ATTITUDE,mavpackettype,ATTITUDE
1749826239.443094,ATTITUDE,time_boot_ms,812104
1749826239.443094,ATTITUDE,roll,0.008677398785948753
1749826239.443094,ATTITUDE,pitch,-0.060671616345644
1749826239.443094,ATTITUDE,yaw,1.473564863204956
1749826239.443094,ATTITUDE,rollspeed,0.0025026293005794287
1749826239.443094,ATTITUDE,pitchspeed,-0.003981106914579868
1749826239.443094,ATTITUDE,yawspeed,-0.0004617004015017301
1749826239.4431736,ATTITUDE_QUATERNION,mavpackettype,ATTITUDE_QUATERNION
1749826239.4431736,ATTITUDE_QUATERNION,time_boot_ms,812104
1749826239.4431736,ATTITUDE_QUATERNION,q1,-0.7401981949806213
1749826239.4431736,ATTITUDE_QUATERNION,q2,-0.02359146438539028
1749826239.4431736,ATTITUDE_QUATERNION,q3,0.019550224766135216
1749826239.4431736,ATTITUDE_QUATERNION,q4,-0.6716903448104858
1749826239.4431736,ATTITUDE_QUATERNION,rollspeed,0.0025026293005794287
1749826239.4431736,ATTITUDE_QUATERNION,pitchspeed,-0.003981106914579868
1749826239.4431736,ATTITUDE_QUATERNION,yawspeed,-0.0004617004015017301
1749826239.4431736,ATTITUDE_QUATERNION,repr_offset_q,"[0.0, 0.0, 0.0, 0.0]"
1749826239.443253,ATTITUDE_TARGET,mavpackettype,ATTITUDE_TARGET
1749826239.443253,ATTITUDE_TARGET,time_boot_ms,812100
1749826239.443253,ATTITUDE_TARGET,type_mask,0
1749826239.443253,ATTITUDE_TARGET,q,"[0.7402680516242981, 0.024640746414661407, -0.02045023813843727, 0.6715488433837891]"
1749826239.443253,ATTITUDE_TARGET,body_roll_rate,0.0013408362865447998
1749826239.443253,ATTITUDE_TARGET,body_pitch_rate,-0.010983780026435852
1749826239.443253,ATTITUDE_TARGET,body_yaw_rate,-0.0008453130722045898
1749826239.443253,ATTITUDE_TARGET,thrust,0.7274573445320129
1749826239.4439514,UNKNOWN_290,mavpackettype,UNKNOWN_290
1749826239.4439514,UNKNOWN_290,data,"bytearray(b'\xfd.\x00\x00\x0c\x01\x01""\x01\x00@\xb9g0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00\x0f\x03\xa0')"
1749826239.4439924,UNKNOWN_291,mavpackettype,UNKNOWN_291
1749826239.4439924,UNKNOWN_291,data,bytearray(b'\xfd\x16\x00\x00\r\x01\x01#\x01\x00@\xb9g0\x00\x00\x00\x00\xf5\x02\x00\x00\r\x03\x00\x00\xf8\x02\x00\x00\x08\x03+\xbb')
1749826239.4440427,EXTENDED_SYS_STATE,mavpackettype,EXTENDED_SYS_STATE
1749826239.4440427,EXTENDED_SYS_STATE,vtol_state,0
1749826239.4440427,EXTENDED_SYS_STATE,landed_state,2
1749826239.44409,GLOBAL_POSITION_INT,mavpackettype,GLOBAL_POSITION_INT
1749826239.44409,GLOBAL_POSITION_INT,time_boot_ms,812100
1749826239.44409,GLOBAL_POSITION_INT,lat,474001295
1749826239.44409,GLOBAL_POSITION_INT,lon,85452469
1749826239.44409,GLOBAL_POSITION_INT,alt,50271
1749826239.44409,GLOBAL_POSITION_INT,relative_alt,50016
1749826239.44409,GLOBAL_POSITION_INT,vx,46
1749826239.44409,GLOBAL_POSITION_INT,vy,499
1749826239.44409,GLOBAL_POSITION_INT,vz,1
1749826239.44409,GLOBAL_POSITION_INT,hdg,8442
1749826239.444162,GPS_RAW_INT,mavpackettype,GPS_RAW_INT
1749826239.444162,GPS_RAW_INT,time_usec,812100000
1749826239.444162,GPS_RAW_INT,fix_type,3
1749826239.444162,GPS_RAW_INT,lat,474001291
1749826239.444162,GPS_RAW_INT,lon,85452406
1749826239.444162,GPS_RAW_INT,alt,50336
1749826239.444162,GPS_RAW_INT,eph,70
1749826239.444162,GPS_RAW_INT,epv,110
1749826239.444162,GPS_RAW_INT,vel,503
1749826239.444162,GPS_RAW_INT,cog,8422
1749826239.444162,GPS_RAW_INT,satellites_visible,10
1749826239.444162,GPS_RAW_INT,alt_ellipsoid,50336
1749826239.444162,GPS_RAW_INT,h_acc,900
1749826239.444162,GPS_RAW_INT,v_acc,1780
1749826239.444162,GPS_RAW_INT,vel_acc,400
1749826239.444162,GPS_RAW_INT,hdg_acc,0
1749826239.444162,GPS_RAW_INT,yaw,0
1749826239.4454794,LOCAL_POSITION_NED,mavpackettype,LOCAL_POSITION_NED
1749826239.4454794,LOCAL_POSITION_NED,time_boot_ms,812100
1749826239.4454794,LOCAL_POSITION_NED,x,240.00315856933594
1749826239.4454794,LOCAL_POSITION_NED,y,-69.02082824707031
1749826239.4454794,LOCAL_POSITION_NED,z,-50.034942626953125
1749826239.4454794,LOCAL_POSITION_NED,vx,0.4653030335903168
1749826239.4454794,LOCAL_POSITION_NED,vy,4.9982709884643555
1749826239.4454794,LOCAL_POSITION_NED,vz,0.01850980706512928
1749826239.4455695,OPEN_DRONE_ID_LOCATION,mavpackettype,OPEN_DRONE_ID_LOCATION
1749826239.4455695,OPEN_DRONE_ID_LOCATION,target_system,0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,target_component,0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,id_or_mac,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749826239.4455695,OPEN_DRONE_ID_LOCATION,status,2
1749826239.4455695,OPEN_DRONE_ID_LOCATION,direction,8400
1749826239.4455695,OPEN_DRONE_ID_LOCATION,speed_horizontal,503
1749826239.4455695,OPEN_DRONE_ID_LOCATION,speed_vertical,-1
1749826239.4455695,OPEN_DRONE_ID_LOCATION,latitude,474001291
1749826239.4455695,OPEN_DRONE_ID_LOCATION,longitude,85452406
1749826239.4455695,OPEN_DRONE_ID_LOCATION,altitude_barometric,49.99248504638672
1749826239.4455695,OPEN_DRONE_ID_LOCATION,altitude_geodetic,50.0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,height_reference,0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,height,50.01599884033203
1749826239.4455695,OPEN_DRONE_ID_LOCATION,horizontal_accuracy,12
1749826239.4455695,OPEN_DRONE_ID_LOCATION,vertical_accuracy,5
1749826239.4455695,OPEN_DRONE_ID_LOCATION,barometer_accuracy,0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,speed_accuracy,3
1749826239.4455695,OPEN_DRONE_ID_LOCATION,timestamp,65535.0
1749826239.4455695,OPEN_DRONE_ID_LOCATION,timestamp_accuracy,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,mavpackettype,OPEN_DRONE_ID_SYSTEM
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,target_system,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,target_component,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,id_or_mac,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,operator_location_type,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,classification_type,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,operator_latitude,473979710
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,operator_longitude,85461641
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,area_count,1
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,area_radius,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,area_ceiling,-1000.0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,area_floor,-1000.0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,category_eu,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,class_eu,0
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,operator_altitude_geo,0.25530532002449036
1749826239.4513996,OPEN_DRONE_ID_SYSTEM,timestamp,2748666496
1749826239.4515946,POSITION_TARGET_LOCAL_NED,mavpackettype,POSITION_TARGET_LOCAL_NED
1749826239.4515946,POSITION_TARGET_LOCAL_NED,time_boot_ms,812100
1749826239.4515946,POSITION_TARGET_LOCAL_NED,coordinate_frame,1
1749826239.4515946,POSITION_TARGET_LOCAL_NED,type_mask,0
1749826239.4515946,POSITION_TARGET_LOCAL_NED,x,239.95713806152344
1749826239.4515946,POSITION_TARGET_LOCAL_NED,y,-68.98965454101562
1749826239.4515946,POSITION_TARGET_LOCAL_NED,z,-50.0188102722168
1749826239.4515946,POSITION_TARGET_LOCAL_NED,vx,0.4451555907726288
1749826239.4515946,POSITION_TARGET_LOCAL_NED,vy,5.00565767288208
1749826239.4515946,POSITION_TARGET_LOCAL_NED,vz,0.01612725667655468
1749826239.4515946,POSITION_TARGET_LOCAL_NED,afx,-0.027688102796673775
1749826239.4515946,POSITION_TARGET_LOCAL_NED,afy,0.6284051537513733
1749826239.4515946,POSITION_TARGET_LOCAL_NED,afz,-0.005014055408537388
1749826239.4515946,POSITION_TARGET_LOCAL_NED,yaw,1.4732379913330078
1749826239.4515946,POSITION_TARGET_LOCAL_NED,yaw_rate,0.0
1749826239.4517562,SCALED_PRESSURE,mavpackettype,SCALED_PRESSURE
