Time,Message,Voltage1_mV,BatteryCurrent_cA,EnergyUsed_mWh,BatteryRemaining_pct,Sensors_Present,Sensors_Enabled,Sensors_Health
16:33:47,BATTERY_STATUS,16200.0,-100.0,-1.0,78.0,,,
16:33:47,SYS_STATUS,,,,,50380847.0,50446383.0,320915519.0
16:33:49,SYS_STATUS,,,,,50380847.0,50446383.0,320915519.0
16:33:49,BATTERY_STATUS,16200.0,-100.0,-1.0,97.0,,,
16:33:49,SYS_STATUS,,,,,50380847.0,50446383.0,320915519.0
16:33:51,SYS_STATUS,,,,,50380847.0,50446383.0,320915519.0
16:33:52,BATTERY_STATUS,16200.0,-100.0,-1.0,100.0,,,
16:33:52,SYS_STATUS,,,,,33603631.0,33669167.0,320915519.0
16:33:53,SYS_STATUS,,,,,33603631.0,33669167.0,320915519.0
16:33:54,BATTERY_STATUS,16200.0,-100.0,-1.0,100.0,,,
